PP_rr,PP_wkt_rem,mid_rr,mid_wkt_rem,RR,Win,T2_rrr_1,T2_wkt_rem_1,T2_rrr_2,T2_wkt_rem_2,T2_rrr_3,T2_wkt_rem_3,T2_rrr_4,T2_wkt_rem_4,T2_rrr_5,T2_wkt_rem_5,T2_rrr_6,T2_wkt_rem_6,T2_rrr_7,T2_wkt_rem_7,T2_rrr_8,T2_wkt_rem_8,T2_rrr_9,T2_wkt_rem_9,T2_rrr_10,T2_wkt_rem_10,T2_rrr_11,T2_wkt_rem_11,T2_rrr_12,T2_wkt_rem_12,T2_rrr_13,T2_wkt_rem_13,T2_rrr_14,T2_wkt_rem_14,T2_rrr_15,T2_wkt_rem_15,T2_rrr_16,T2_wkt_rem_16,T2_rrr_17,T2_wkt_rem_17,T2_rrr_18,T2_wkt_rem_18,T2_rrr_19,T2_wkt_rem_19
6.166666666666667,8.0,6.333333333333333,4.0,7.25,0.0,7.368421052631579,10.0,7.277777777777778,10.0,7.411764705882353,10.0,7.6875,10.0,7.933333333333334,9.0,8.357142857142858,8.0,8.538461538461538,7.0,8.666666666666666,7.0,8.909090909090908,7.0,9.2,6.0,8.555555555555555,6.0,8.125,5.0,8.714285714285714,5.0,8.5,5.0,8.8,5.0,9.0,5.0,8.0,4.0,6.0,4.0,6.0,2.0
8.333333333333334,10.0,6.533333333333333,7.0,7.636363636363636,0.0,7.842105263157895,10.0,7.944444444444445,10.0,8.058823529411764,10.0,7.9375,10.0,7.733333333333333,10.0,7.571428571428571,10.0,7.846153846153846,10.0,6.666666666666667,10.0,6.545454545454546,10.0,6.1,10.0,6.111111111111111,10.0,6.25,10.0,6.285714285714286,7.0,6.166666666666667,7.0,5.0,7.0,4.75,7.0,4.666666666666667,7.0,4.0,6.0,0.0,6.0
8.666666666666666,9.0,7.733333333333333,7.0,8.3,1.0,8.210526315789474,10.0,7.444444444444445,10.0,7.588235294117647,9.0,8.0,7.0,8.533333333333333,5.0,8.714285714285714,4.0,8.307692307692308,4.0,7.5,4.0,7.818181818181818,4.0,8.5,4.0,8.777777777777779,3.0,9.375,3.0,10.428571428571429,2.0,10.666666666666666,2.0,11.0,2.0,12.25,2.0,15.666666666666666,2.0,18.5,2.0,25.0,2.0
6.833333333333333,9.0,7.4,7.0,8.25,1.0,8.263157894736842,10.0,8.444444444444445,10.0,8.705882352941176,9.0,8.4375,9.0,8.466666666666667,9.0,8.714285714285714,9.0,8.846153846153847,9.0,8.833333333333334,9.0,8.636363636363637,9.0,8.4,9.0,7.444444444444445,9.0,8.125,9.0,8.857142857142858,9.0,7.5,9.0,7.0,9.0,6.25,9.0,5.666666666666667,8.0,3.5,7.0,5.0,6.0
7.0,8.0,6.866666666666666,4.0,7.75,0.0,7.7894736842105265,10.0,7.666666666666667,10.0,7.588235294117647,9.0,7.8125,9.0,8.066666666666666,9.0,8.071428571428571,9.0,8.23076923076923,9.0,8.583333333333334,9.0,8.909090909090908,9.0,8.4,9.0,8.666666666666666,9.0,9.125,8.0,10.0,7.0,11.166666666666666,6.0,10.8,6.0,12.0,5.0,12.333333333333334,5.0,14.0,5.0,14.0,5.0
4.666666666666667,8.0,6.533333333333333,7.0,6.4,0.0,6.2105263157894735,10.0,6.388888888888889,10.0,6.764705882352941,10.0,6.6875,10.0,6.333333333333333,10.0,6.571428571428571,10.0,6.384615384615385,9.0,6.5,8.0,7.0,6.0,7.5,4.0,7.333333333333333,4.0,7.125,4.0,7.714285714285714,4.0,8.5,4.0,8.4,4.0,10.0,3.0,10.333333333333334,3.0,9.0,3.0,7.0,2.0
7.166666666666667,9.0,8.2,3.0,8.2,0.0,5.7894736842105265,10.0,5.833333333333333,10.0,6.0,10.0,6.0625,10.0,5.266666666666667,10.0,4.285714285714286,9.0,4.230769230769231,9.0,3.75,9.0,3.5454545454545454,8.0,3.4,8.0,3.5555555555555554,6.0,2.875,6.0,2.5714285714285716,6.0,1.1666666666666667,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
9.833333333333334,9.0,10.2,7.0,9.917355371900825,1.0,10.526315789473685,10.0,10.944444444444445,8.0,10.882352941176471,8.0,10.6875,8.0,11.133333333333333,8.0,11.642857142857142,8.0,11.076923076923077,8.0,11.25,8.0,11.454545454545455,8.0,11.5,8.0,11.0,8.0,10.0,8.0,10.0,8.0,9.5,7.0,8.8,7.0,8.5,6.0,6.666666666666667,5.0,7.5,5.0,7.0,4.0
7.0,9.0,6.666666666666667,7.0,6.3,1.0,6.421052631578948,10.0,6.5,10.0,6.764705882352941,8.0,6.9375,8.0,7.0,8.0,6.642857142857143,8.0,6.538461538461538,8.0,6.666666666666667,8.0,7.090909090909091,7.0,7.1,7.0,7.333333333333333,6.0,7.125,5.0,7.571428571428571,4.0,8.333333333333334,2.0,9.0,1.0,11.25,0.0,15.0,0.0,22.5,0.0,45.0,0.0
7.833333333333333,10.0,8.4,9.0,9.05,1.0,9.526315789473685,10.0,9.944444444444445,9.0,10.470588235294118,9.0,10.5625,9.0,10.866666666666667,8.0,11.357142857142858,7.0,12.153846153846153,7.0,12.333333333333334,7.0,12.818181818181818,6.0,12.3,6.0,12.0,6.0,12.75,5.0,12.0,5.0,11.833333333333334,5.0,11.6,5.0,12.75,5.0,15.0,5.0,19.5,4.0,31.0,3.0
